time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-06-30T06:44:57.604Z,21.7707641,72.1527363,-33.80000305175781,19.459,,,0,network,,,,,,,,27,
2020-06-30T06:45:19.000Z,21.77078355,72.15268538,-26.055511474609375,19.296001,,0.0,0,gps,,,,,,,,27,
2020-06-30T06:45:20.000Z,21.77075892,72.15266153,-27.32440185546875,15.008,260.9,0.9,12,gps,,,,,,,,27,
2020-06-30T06:45:21.000Z,21.77075263,72.15264397,-32.292388916015625,6.432,280.3,1.1,12,gps,,,,,,,,27,
2020-06-30T06:45:22.000Z,21.77075738,72.15262749,-34.32708740234375,5.36,268.7,1.1,12,gps,,,,,,,,27,
2020-06-30T06:45:16.295Z,21.770809,72.1526756,-33.80000305175781,19.287,,,0,network,,,,,,,,27,
2020-06-30T06:45:23.000Z,21.77075334,72.15260313,-30.123565673828125,3.216,291.6,1.08,12,gps,,,,,,,,27,
2020-06-30T06:45:24.000Z,21.77074707,72.1526072,-27.54864501953125,3.216,273.6,0.38,17,gps,,,,,,,,27,
2020-06-30T06:45:25.000Z,21.77074995,72.1526032,-29.81036376953125,3.216,304.6,1.04,17,gps,,,,,,,,27,
2020-06-30T06:45:26.000Z,21.77075274,72.15260786,-36.229156494140625,3.216,321.7,0.92,18,gps,,,,,,,,27,
2020-06-30T06:45:27.000Z,21.77076089,72.1526116,-33.74658203125,3.216,13.5,0.98,19,gps,,,,,,,,27,
2020-06-30T06:45:28.000Z,21.77077222,72.15261971,-33.653472900390625,3.216,24.2,1.04,19,gps,,,,,,,,27,
2020-06-30T06:45:29.000Z,21.77078093,72.15263091,-31.55975341796875,3.216,38.1,1.01,20,gps,,,,,,,,27,
2020-06-30T06:45:30.000Z,21.77078901,72.15264202,-32.09716796875,3.216,37.4,1.0,20,gps,,,,,,,,27,
2020-06-30T06:45:31.000Z,21.77079806,72.15265306,-32.319671630859375,3.216,35.2,1.04,18,gps,,,,,,,,27,
2020-06-30T06:45:32.000Z,21.77080767,72.15266247,-32.29888916015625,3.216,31.1,1.06,19,gps,,,,,,,,27,
2020-06-30T06:45:33.000Z,21.77081966,72.15266978,-33.94189453125,3.216,24.7,1.11,20,gps,,,,,,,,27,
2020-06-30T06:45:27.321Z,21.7708132,72.1527364,-33.80000305175781,29.807,,,0,network,,,,,,,,27,
2020-06-30T06:45:34.000Z,21.77083064,72.15267576,-32.60888671875,3.216,22.8,0.89,20,gps,,,,,,,,27,
2020-06-30T06:45:35.000Z,21.77084134,72.1526822,-31.20379638671875,3.216,19.2,1.09,20,gps,,,,,,,,27,
2020-06-30T06:45:36.000Z,21.7708531,72.15268785,-30.716033935546875,3.216,19.3,1.09,20,gps,,,,,,,,27,
2020-06-30T06:45:37.000Z,21.77086463,72.15269584,-32.032440185546875,3.216,45.1,1.08,20,gps,,,,,,,,27,
2020-06-30T06:45:38.000Z,21.77087404,72.15270666,-32.38299560546875,3.216,76.0,1.07,21,gps,,,,,,,,27,
2020-06-30T06:45:39.000Z,21.77088047,72.15271981,-31.263885498046875,3.216,91.4,1.05,21,gps,,,,,,,,27,
2020-06-30T06:45:40.000Z,21.77088079,72.15273243,-30.14984130859375,3.216,94.1,1.03,21,gps,,,,,,,,27,
2020-06-30T06:45:41.000Z,21.77087723,72.1527451,-31.35235595703125,3.216,111.4,1.02,21,gps,,,,,,,,27,
2020-06-30T06:45:42.000Z,21.77087035,72.15275611,-31.744873046875,3.216,127.0,1.05,21,gps,,,,,,,,27,
2020-06-30T06:45:43.000Z,21.77086068,72.15276271,-31.4617919921875,3.216,149.4,1.04,21,gps,,,,,,,,27,
